Абонент,Дата,Потрачено минут,Потрачено смс,Потрачено трафика
25,2022-03-18,0.0,0.0,18.0
25,2022-03-19,4.0,12.0,1.0
26,2022-03-17,12.0,10.0,7.0
26,2022-03-18,1.0,11.0,9.0
26,2022-03-19,0.0,8.0,0.0
27,2022-03-17,1.0,9.0,23.0
27,2022-03-18,23.0,6.0,0.0
27,2022-03-19,0.0,0.0,8.0
28,2022-03-17,8.0,1.0,9.0
28,2022-03-18,4.0,3.0,0.0
28,2022-03-19,0.0,24.0,10.0
29,2022-03-17,0.0,17.0,8.0
29,2022-03-18,10.0,10.0,1.0
29,2022-03-19,6.0,6.0,0.0
30,2022-03-17,8.0,0.0,7.0
30,2022-03-18,2.0,21.0,9.0
30,2022-03-19,4.0,0.0,3.0
31,2022-03-17,8.0,15.0,3.0
31,2022-03-18,4.0,0.0,27.0
31,2022-03-19,0.0,0.0,8.0
32,2022-03-17,0.0,8.0,0.0
32,2022-03-18,20.0,4.0,15.0
32,2022-03-19,1.0,0.0,9.0
33,2022-03-17,3.0,4.0,7.0
33,2022-03-18,10.0,4.0,3.0
33,2022-03-19,15.0,0.0,0.0
34,2022-03-17,15.0,0.0,1.0
34,2022-03-18,0.0,0.0,13.0
34,2022-03-19,16.0,6.0,20.0
35,2022-03-17,2.0,15.0,2.0
35,2022-03-18,10.0,0.0,5.0
35,2022-03-19,6.0,6.0,2.0
36,2022-03-17,10.0,0.0,15.0
36,2022-03-18,10.0,13.0,0.0
36,2022-03-19,11.0,0.0,19.0
37,2022-03-17,0.0,0.0,2.0
37,2022-03-18,12.0,7.0,0.0
37,2022-03-19,2.0,14.0,14.0
38,2022-03-17,9.0,13.0,10.0
38,2022-03-18,15.0,14.0,0.0
38,2022-03-19,8.0,0.0,0.0
39,2022-03-18,0.0,6.0,9.0
39,2022-03-19,13.0,16.0,11.0
40,2022-03-18,17.0,14.0,0.0
40,2022-03-19,25.0,3.0,0.0
41,2022-03-17,2.0,0.0,0.0
41,2022-03-18,8.0,5.0,15.0
41,2022-03-19,4.0,8.0,17.0
42,2022-03-17,11.0,13.0,1.0
42,2022-03-18,5.0,3.0,9.0
42,2022-03-19,0.0,0.0,17.0
43,2022-03-17,0.0,0.0,7.0
43,2022-03-18,0.0,0.0,16.0
43,2022-03-19,8.0,25.0,14.0
44,2022-03-17,0.0,8.0,0.0
44,2022-03-18,8.0,15.0,7.0
44,2022-03-19,3.0,12.0,0.0
45,2022-03-17,0.0,2.0,0.0
45,2022-03-18,0.0,10.0,20.0
45,2022-03-19,7.0,6.0,2.0
46,2022-03-17,10.0,10.0,9.0
46,2022-03-18,14.0,0.0,0.0
46,2022-03-19,0.0,0.0,8.0
47,2022-03-17,0.0,4.0,1.0
47,2022-03-18,9.0,10.0,15.0
47,2022-03-19,13.0,7.0,0.0
48,2022-03-17,10.0,4.0,1.0
48,2022-03-18,9.0,0.0,3.0
48,2022-03-19,8.0,0.0,9.0
49,2022-03-17,14.0,3.0,0.0
49,2022-03-18,6.0,4.0,9.0
49,2022-03-19,0.0,0.0,12.0
50,2022-03-17,0.0,0.0,6.0
50,2022-03-18,15.0,13.0,14.0
50,2022-03-19,1.0,0.0,0.0
